question_id,sire_chapter,question,rank
Q0001,2,Are structural survey reports and UTM records filed in the ESP documentation as per procedure?,Master
Q0002,2,Are all coating repairs and hot work records updated in the coating technical file (Part IV)?,Master
Q0003,2,Were coating reinstatement records after ballast tank repairs properly documented?,Master
Q0004,2,"Are any explosion-proof light fittings damaged, cracked, or internally dirty?",Master
Q0005,2,Have all defective or deteriorated light fittings been recorded in JiBe?,Master
Q0006,2,Is Appendix 1 of SEEMP completed as per ship-specific energy efficiency requirements?,Master
Q0007,2,Are six-monthly SEEMP review records properly filed and updated in the review log?,Master
Q0008,2,Is the Statement of Compliance for Fuel Oil Consumption available onboard?,Master
Q0009,2,"Is MF/HF equipment fully operational? If not, is valid flag dispensation available?",Master
Q0010,2,"Is VDR fully operational? If not, is defect recorded and tracked with valid dispensation?",Master
Q0011,2,"Is BWTS fully operational? If not, is CoC issued and corrective action tracked?",Master
Q0012,2,"Is ODME operational? If not, is repair tracked within due date?",Master
Q0013,2,"Is cargo tank level gauging system operational for all tanks? If not, is mitigation and repair plan documented?",Master
Q0014,2,"Are any statutory or class certificates issued on short-term basis? If yes, are actions in place before expiry?",Master
Q0015,2,Are all Conditions of Class (CoC) tracked with defined corrective action and due dates?,Master
Q0016,2,"Is any navigation equipment (RPM indicator, compass, etc.) defective? If yes, is it recorded in JiBe?",Master
Q0017,2,Are all defects entered in JiBe acknowledged by shore management?,Master
Q0018,2,Are there any open defects pending shore acknowledgement?,Master
Q0019,2,"Are class actionable notes (e.g. escape trunk location, repairs) recorded in defect system?",Master
Q0020,2,Is load line marking clearly visible and properly painted?,Master
Q0021,2,Are draft marks legible and free from corrosion?,Master
Q0022,2,Are all HVPQ entries verified against actual vessel condition before submission?,Master
Q0023,2,"Are certificate details in HVPQ (expiry, short-term status) correctly updated?",Master
Q0024,2,Are incident records in HVPQ properly filled when marked “Yes”?,Master
Q0025,2,Are PSC inspection records correctly updated in PIQ ?,Master
Q0026,2,Are superintendent inspection intervals within 7 months for technical inspections?,Master
Q0027,3,Do Master and deck officers have valid cargo system simulator training within the last 5 years?,Master
Q0028,3,Do officers involved in cargo operations have valid full or refresher cargo handling simulator training within the last 5 years?,Master
Q0029,3,Does Master responsible for chemical cargo have valid chemical cargo simulator training within the last 5 years?,Master
Q0030,3,Are engine officers holding simulator certificates relevant to the propulsion type of the vessel?,Master
Q0031,3,Does ship handling training procedure include requirement for training prior to joining vessels with different maneuvering characteristics?,Master
Q0032,3,Does Master with less than 36 months in rank have evidence of ship handling training as per STCW requirements?,Master
Q0033,3,Are dynamic navigational assessment reports aligned with OCIMF best practice guidelines and covering all required sections?,Master
Q0034,3,Are static navigational assessment reports complete with full checklists as per OCIMF guidance?,Master
Q0035,3,Are all navigational audit observations closed within due date or formally extended?,Master
Q0036,3,Are cargo audit reports available onboard with full checklists and not limited to summary only?,Master
Q0037,3,Are mooring and anchoring audit reports available onboard with full checklists and detailed assessments?,Master
Q0038,3,"Do mooring and anchoring audit reports include assessment of crew competency, leadership, and training needs?",Master
Q0039,3,Are superintendent and internal audit findings tracked with closure or extension evidence?,Master
Q0040,3,Are all crew members actually present during drills as recorded in drill reports?,Master
Q0041,3,Are work and rest hour records accurately reflecting all duties including unmooring and operational tasks?,Master
Q0042,3,Are work and rest hour records verified monthly by responsible officers for accuracy?,Master
Q0043,3,Are any discrepancies between recorded rest hours and actual operations identified and corrected?,Master
Q0044,3,Are remarks recorded for work done outside normal working hours in rest hour records?,Master
Q0045,3,Is bridge team work and rest hour recording aligned with actual bridge manning and operations?,Master
